name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats
Honda Civic,2009,64843,161291,Diesel,Individual,Manual,First Owner,23.35 kmpl,1390 CC,94.3 bhp,110Nm@ 2500rpm,5.0
Maruti Swift,2010,53447,164080,Petrol,Individual,Manual,Second Owner,15.9 kmpl,1748 CC,103.1 bhp,181Nm@ 3000rpm,7.0
Renault Triber,2012,60229,143532,Petrol,Individual,Manual,Second Owner,19.1 kmpl,1387 CC,85.4 bhp,142Nm@ 4000rpm,7.0
Renault Triber,2015,130075,92722,Petrol,Individual,Automatic,First Owner,19.17 kmpl,1372 CC,89.5 bhp,136Nm@ 4000rpm,7.0
Maruti Vitara Brezza,2009,49867,172917,Petrol,Dealer,Manual,Second Owner,20.68 kmpl,1610 CC,92.8 bhp,127Nm@ 2000rpm,4.0
Maruti Baleno,2013,75653,164930,Diesel,Individual,Manual,Second Owner,22.12 kmpl,1450 CC,84.8 bhp,112Nm@ 2200rpm,5.0
Ford EcoSport,2023,371372,64801,Diesel,Individual,Manual,First Owner,19.09 kmpl,2008 CC,119.4 bhp,,8.0
Mercedes-Benz E-Class,2019,645501,41494,Petrol,Individual,Manual,First Owner,15.01 kmpl,2218 CC,145.5 bhp,241Nm@ 2500rpm,5.0
Hyundai i10,2012,147256,132358,Diesel,Trustmark Dealer,Automatic,First Owner,20.05 kmpl,1797 CC,87.5 bhp,145Nm@ 2500rpm,6.0
Hyundai Creta,2019,267271,74076,Diesel,Individual,Automatic,Second Owner,20.07 kmpl,1685 CC,130.0 bhp,214Nm@ 1500rpm,4.0
Audi A4,2013,283618,133948,Petrol,Dealer,Manual,First Owner,16.86 kmpl,1856 CC,125.6 bhp,193Nm@ 2200rpm,5.0
Tata Harrier,2019,169524,72978,Petrol,Individual,Manual,Second Owner,16.0 kmpl,1755 CC,112.3 bhp,180Nm@ 2000rpm,4.0
Tata Safari,2018,149043,67059,Petrol,Individual,Manual,Second Owner,22.65 kmpl,966 CC,47.0 bhp,79Nm@ 2000rpm,5.0
Toyota Etios,2016,243529,105631,Diesel,Individual,Automatic,First Owner,21.64 kmpl,1504 CC,91.6 bhp,133Nm@ 3000rpm,
Hyundai Venue,2015,85380,102064,LPG,Individual,Manual,Third Owner,25.89 kmpl,743 CC,36.5 bhp,53Nm@ 4000rpm,6.0
Mahindra Thar,2017,167826,84945,Petrol,Individual,Automatic,Third Owner,20.38 kmpl,1474 CC,94.3 bhp,,
Toyota Corolla,2017,251019,80562,Diesel,Individual,Automatic,First Owner,18.87 kmpl,1590 CC,124.3 bhp,174Nm@ 2200rpm,7.0
Maruti Vitara Brezza,2013,93167,82858,Diesel,Individual,Manual,Second Owner,21.24 kmpl,1437 CC,96.2 bhp,136Nm@ 1500rpm,6.0
Toyota Corolla,2011,90726,151065,Petrol,Individual,Manual,First Owner,18.44 kmpl,1571 CC,92.8 bhp,131Nm@ 4000rpm,8.0
Tata Tiago,2010,71363,150078,Petrol,Individual,Manual,First Owner,18.85 kmpl,1653 CC,98.4 bhp,145Nm@ 1750rpm,7.0
Volkswagen Tiguan,2013,81488,111916,Petrol,Individual,Manual,Second Owner,20.17 kmpl,1496 CC,94.6 bhp,109Nm@ 3000rpm,8.0
Toyota Innova,2011,107474,135827,Petrol,Dealer,Manual,First Owner,16.88 kmpl,1699 CC,85.7 bhp,135Nm@ 4000rpm,8.0
Tata Nexon,2022,311509,46699,Diesel,Individual,Automatic,First Owner,22.7 kmpl,1534 CC,102.5 bhp,150Nm@ 2200rpm,4.0
Toyota Innova,2015,214369,61099,Diesel,Individual,Manual,First Owner,18.69 kmpl,2196 CC,146.7 bhp,220Nm@ 2200rpm,5.0
Hyundai Creta,2017,165582,105104,Petrol,Individual,Automatic,First Owner,17.18 kmpl,1462 CC,98.9 bhp,135Nm@ 1750rpm,
Maruti Vitara Brezza,2014,94852,120826,Petrol,Individual,Manual,First Owner,19.22 kmpl,1498 CC,85.8 bhp,134Nm@ 1500rpm,5.0
Mahindra Thar,2016,139588,113237,Petrol,Individual,Automatic,Second Owner,19.12 kmpl,1337 CC,77.1 bhp,115Nm@ 3000rpm,8.0
Toyota Fortuner,2019,280589,50471,Diesel,Individual,Manual,First Owner,21.67 kmpl,1521 CC,111.2 bhp,171Nm@ 3000rpm,8.0
Honda City,2016,132610,85209,Diesel,Individual,Manual,Second Owner,20.74 kmpl,1532 CC,,142Nm@ 1750rpm,7.0
Maruti Ertiga,2011,55478,137000,Diesel,Individual,Manual,Third Owner,22.0 kmpl,908 CC,67.5 bhp,105Nm@ 4000rpm,5.0
BMW X1,2017,572085,88678,Diesel,Individual,Manual,First Owner,15.92 kmpl,2248 CC,113.3 bhp,168Nm@ 1500rpm,8.0
Maruti Alto,2019,245791,25654,Diesel,Individual,Automatic,First Owner,21.03 kmpl,1496 CC,98.6 bhp,132Nm@ 2500rpm,5.0
Honda Civic,2012,87240,164996,Petrol,Individual,Manual,First Owner,18.72 kmpl,1183 CC,74.0 bhp,99Nm@ 4000rpm,5.0
Hyundai Venue,2010,66576,149925,Diesel,Dealer,Manual,First Owner,20.58 kmpl,1669 CC,118.6 bhp,165Nm@ 2000rpm,8.0
Honda Jazz,2018,168070,41842,Petrol,Individual,Manual,First Owner,18.6 kmpl,1722 CC,110.3 bhp,,5.0
Tata Harrier,2013,88742,130679,Petrol,Individual,Manual,First Owner,18.25 kmpl,1618 CC,95.9 bhp,173Nm@ 2000rpm,6.0
Honda City,2018,175961,105730,Petrol,Dealer,Manual,First Owner,19.3 kmpl,1123 CC,62.0 bhp,88Nm@ 2000rpm,5.0
Ford Aspire,2006,40000,195564,Petrol,Individual,Manual,Second Owner,20.44 kmpl,1150 CC,73.4 bhp,97Nm@ 4000rpm,8.0
Renault Triber,2014,102136,86007,Diesel,Individual,Automatic,Second Owner,21.05 kmpl,1322 CC,88.4 bhp,158Nm@ 2200rpm,8.0
Ford EcoSport,2015,104455,135236,Diesel,Individual,Automatic,Second Owner,24.38 kmpl,1286 CC,70.6 bhp,83Nm@ 1500rpm,5.0
Ford EcoSport,2009,55567,181299,Petrol,Individual,Manual,Second Owner,19.28 kmpl,1543 CC,91.3 bhp,135Nm@ 3000rpm,5.0
Audi Q3,2009,183295,180597,Diesel,Individual,Manual,First Owner,14.94 kmpl,2421 CC,165.3 bhp,274Nm@ 2000rpm,5.0
Tata Altroz,2018,177221,68208,Petrol,Individual,Manual,First Owner,15.43 kmpl,2050 CC,120.0 bhp,164Nm@ 2000rpm,8.0
Honda Jazz,2020,231234,84483,Petrol,Individual,Manual,Second Owner,17.09 kmpl,1810 CC,121.5 bhp,184Nm@ 2000rpm,5.0
Mahindra XUV300,2019,197070,55066,Diesel,Individual,Manual,Second Owner,20.84 kmpl,1497 CC,91.3 bhp,136Nm@ 1500rpm,7.0
Hyundai Verna,2022,224914,80270,Petrol,Individual,Manual,First Owner,22.0 kmpl,1010 CC,60.5 bhp,87Nm@ 1750rpm,5.0
Tata Tiago,2013,80245,127749,Petrol,Individual,Manual,First Owner,21.54 kmpl,1181 CC,82.3 bhp,111Nm@ 3000rpm,5.0
BMW X1,2013,291718,101791,Petrol,Individual,Manual,Second Owner,12.95 kmpl,2418 CC,154.2 bhp,189Nm@ 2000rpm,7.0
Hyundai Venue,2006,46079,184881,Petrol,Individual,Manual,First Owner,18.32 kmpl,1641 CC,93.4 bhp,131Nm@ 1750rpm,8.0
Hyundai Verna,2006,51595,224772,Diesel,Trustmark Dealer,Manual,First Owner,22.29 kmpl,1535 CC,96.1 bhp,154Nm@ 4000rpm,8.0
Renault Kwid,2015,101673,107523,Petrol,Individual,Automatic,First Owner,21.49 kmpl,1079 CC,72.8 bhp,108Nm@ 4000rpm,7.0
Mercedes-Benz E-Class,2012,338826,127087,Diesel,Individual,Automatic,Second Owner,18.04 kmpl,2107 CC,155.2 bhp,,8.0
BMW 5 Series,2012,335794,112986,Petrol,Individual,Automatic,First Owner,15.13 kmpl,2224 CC,141.8 bhp,214Nm@ 2200rpm,5.0
Toyota Fortuner,2022,368093,44644,Petrol,Individual,Manual,First Owner,17.92 kmpl,1657 CC,103.7 bhp,147Nm@ 2200rpm,5.0
Renault Duster,2014,75388,96521,Diesel,Individual,Manual,Second Owner,18.79 kmpl,1748 CC,112.7 bhp,199Nm@ 2000rpm,5.0
Hyundai i10,2014,108078,100957,Petrol,Individual,Manual,Second Owner,18.85 kmpl,1602 CC,92.1 bhp,157Nm@ 1750rpm,6.0
Honda City,2011,77352,152280,Petrol,Individual,Manual,Second Owner,19.24 kmpl,1435 CC,93.1 bhp,127Nm@ 2000rpm,5.0
Toyota Corolla,2014,177277,117455,Diesel,Individual,Automatic,Second Owner,20.74 kmpl,1661 CC,89.2 bhp,153Nm@ 4000rpm,8.0
Tata Tiago,2013,76620,138020,CNG,Individual,Manual,Second Owner,18.7 kmpl,1492 CC,90.6 bhp,152Nm@ 2200rpm,6.0
Volkswagen Tiguan,2015,180355,108025,Petrol,Dealer,Manual,First Owner,13.42 kmpl,1997 CC,132.8 bhp,197Nm@ 1500rpm,5.0
Mahindra Thar,2012,86023,129393,Diesel,Individual,Manual,Second Owner,22.51 kmpl,1576 CC,102.7 bhp,142Nm@ 1500rpm,5.0
Ford Figo,2013,93364,93597,Petrol,Dealer,Manual,First Owner,17.77 kmpl,1647 CC,104.9 bhp,149Nm@ 2000rpm,6.0
BMW X1,2014,360034,108930,Petrol,Individual,Manual,First Owner,15.81 kmpl,2128 CC,127.2 bhp,206Nm@ 1750rpm,7.0
Maruti Dzire,2011,68549,163615,Petrol,Individual,Manual,First Owner,15.44 kmpl,1750 CC,100.6 bhp,145Nm@ 4000rpm,8.0
Tata Nexon,2019,170527,74161,Diesel,Individual,Manual,First Owner,20.75 kmpl,1672 CC,105.8 bhp,180Nm@ 2200rpm,5.0
Audi A6,2014,410443,109044,Diesel,Dealer,Automatic,Second Owner,16.12 kmpl,2107 CC,134.0 bhp,210Nm@ 2000rpm,5.0
Honda City,2015,148961,110673,Diesel,Individual,Automatic,First Owner,20.66 kmpl,1591 CC,90.1 bhp,124Nm@ 2000rpm,7.0
Toyota Corolla,2014,208998,92774,Petrol,Individual,Automatic,First Owner,17.03 kmpl,1769 CC,100.8 bhp,140Nm@ 2500rpm,5.0
Ford Aspire,2014,117720,119600,Petrol,Individual,Manual,First Owner,16.26 kmpl,1933 CC,128.0 bhp,187Nm@ 3000rpm,7.0
Volkswagen Tiguan,2008,61409,186401,Diesel,Individual,Automatic,Second Owner,22.77 kmpl,1449 CC,87.6 bhp,119Nm@ 4000rpm,4.0
Hyundai Venue,2018,218340,67592,Diesel,Individual,Automatic,First Owner,21.82 kmpl,1508 CC,86.0 bhp,107Nm@ 2500rpm,7.0
Maruti Vitara Brezza,2011,61898,156840,Petrol,Dealer,Manual,First Owner,23.0 kmpl,1187 CC,84.1 bhp,114Nm@ 1500rpm,8.0
Maruti Wagon R,2016,128766,102757,Petrol,Individual,Automatic,Second Owner,18.24 kmpl,1736 CC,102.3 bhp,158Nm@ 2000rpm,7.0
Hyundai Creta,2007,41296,194621,Petrol,Individual,Manual,Second Owner,21.4 kmpl,1291 CC,82.8 bhp,130Nm@ 4000rpm,6.0
Honda Jazz,2023,408125,17135,Petrol,Dealer,Manual,Second Owner,18.52 kmpl,1666 CC,85.0 bhp,134Nm@ 2200rpm,7.0
Maruti Alto,2013,73800,137702,Petrol,Individual,Manual,Second Owner,20.25 kmpl,1301 CC,74.4 bhp,117Nm@ 1750rpm,8.0
Maruti Alto,2011,53141,145738,Petrol,Individual,Manual,Second Owner,21.39 kmpl,1184 CC,88.6 bhp,122Nm@ 2000rpm,7.0
Mercedes-Benz GLA,2001,61429,289969,Petrol,Individual,Manual,First Owner,15.51 kmpl,2012 CC,141.5 bhp,208Nm@ 4000rpm,7.0
Mahindra XUV500,2021,267174,29056,Petrol,Individual,Manual,Second Owner,20.28 kmpl,1332 CC,72.3 bhp,116Nm@ 1500rpm,5.0
Maruti Baleno,2007,49588,181933,Petrol,Individual,Automatic,First Owner,17.34 kmpl,1810 CC,145.7 bhp,239Nm@ 3000rpm,8.0
Audi Q3,2018,385368,75011,CNG,Individual,Manual,Third Owner,18.35 kmpl,1499 CC,103.7 bhp,114Nm@ 1750rpm,4.0
Toyota Etios,2020,261819,57430,Diesel,Individual,Automatic,Third Owner,19.62 kmpl,1550 CC,116.9 bhp,164Nm@ 1750rpm,5.0
Mercedes-Benz GLA,2014,351176,129606,Petrol,Individual,Automatic,Second Owner,14.84 kmpl,2266 CC,147.3 bhp,279Nm@ 2200rpm,5.0
Hyundai Venue,2011,80622,150162,Petrol,Dealer,Manual,Second Owner,20.5 kmpl,1372 CC,87.4 bhp,120Nm@ 2500rpm,5.0
Mahindra XUV500,2014,158405,84102,Diesel,Individual,Automatic,First Owner,21.65 kmpl,1644 CC,95.2 bhp,137Nm@ 1750rpm,8.0
Ford Aspire,2015,116806,123433,CNG,Individual,Automatic,First Owner,20.44 kmpl,1430 CC,112.1 bhp,168Nm@ 2000rpm,6.0
Honda Civic,2019,217662,58351,Diesel,Individual,Manual,Second Owner,21.59 kmpl,1456 CC,91.5 bhp,97Nm@ 2200rpm,7.0
Toyota Etios,2010,71113,164344,Petrol,Individual,Manual,First Owner,20.69 kmpl,1559 CC,92.2 bhp,153Nm@ 2200rpm,5.0
Hyundai Verna,2011,61302,173361,Petrol,Individual,Manual,First Owner,18.46 kmpl,1404 CC,84.0 bhp,118Nm@ 2200rpm,5.0
Hyundai i20,2016,158896,110918,Petrol,Individual,Manual,Second Owner,17.0 kmpl,2107 CC,115.9 bhp,159Nm@ 2200rpm,6.0
Audi A4,2011,251823,132036,Petrol,Individual,Manual,Test Drive Car,17.23 kmpl,1936 CC,111.8 bhp,153Nm@ 1500rpm,8.0
Toyota Innova,2016,222573,91042,Petrol,Dealer,Manual,Second Owner,18.47 kmpl,1597 CC,,146Nm@ 3000rpm,7.0
Honda City,2013,117612,138048,Diesel,Dealer,Manual,First Owner,21.39 kmpl,1304 CC,68.1 bhp,104Nm@ 4000rpm,5.0
Renault Kwid,2013,61893,132389,CNG,Individual,Manual,First Owner,21.07 kmpl,1070 CC,56.7 bhp,93Nm@ 3000rpm,4.0
Ford Figo,2014,107936,141732,Petrol,Trustmark Dealer,Manual,First Owner,18.75 kmpl,1722 CC,104.0 bhp,145Nm@ 2000rpm,5.0
Hyundai Verna,2010,59153,164012,Petrol,Individual,Automatic,Fourth & Above Owner,19.31 kmpl,1421 CC,89.9 bhp,142Nm@ 2000rpm,7.0
Hyundai Grand i10,2010,70059,161234,Petrol,Individual,Manual,First Owner,17.44 kmpl,1802 CC,121.9 bhp,,6.0
Ford Aspire,2015,120686,57431,Petrol,Individual,Automatic,First Owner,18.18 kmpl,1405 CC,94.3 bhp,144Nm@ 3000rpm,5.0
Hyundai Verna,2020,249491,37855,Petrol,Individual,Manual,First Owner,19.29 kmpl,1502 CC,94.4 bhp,144Nm@ 2000rpm,8.0
Maruti Swift,2012,81779,138674,Petrol,Individual,Manual,First Owner,20.0 kmpl,1521 CC,97.6 bhp,144Nm@ 3000rpm,4.0
Ford Aspire,2015,88422,104186,Petrol,Individual,Manual,Third Owner,17.0 kmpl,1761 CC,106.9 bhp,,5.0
Hyundai i20,2015,121378,108190,Petrol,Individual,Manual,First Owner,20.61 kmpl,1720 CC,98.3 bhp,115Nm@ 1750rpm,7.0
Toyota Etios,2015,135714,127065,Petrol,Individual,Manual,Second Owner,19.56 kmpl,1743 CC,110.6 bhp,155Nm@ 3000rpm,8.0
Hyundai i20,2014,119779,151515,Petrol,Individual,Manual,First Owner,17.73 kmpl,1732 CC,111.2 bhp,157Nm@ 2500rpm,6.0
Maruti Vitara Brezza,2013,81353,153939,Petrol,Individual,Automatic,Second Owner,20.46 kmpl,1350 CC,65.6 bhp,92Nm@ 2000rpm,5.0
Volkswagen Polo,2011,95434,104597,Petrol,Individual,Manual,First Owner,16.63 kmpl,1721 CC,99.8 bhp,151Nm@ 1500rpm,8.0
Maruti Wagon R,2020,202875,46959,Diesel,Individual,Manual,First Owner,21.82 kmpl,1436 CC,89.4 bhp,136Nm@ 2200rpm,7.0
Mahindra XUV300,2012,94644,134327,Diesel,Dealer,Manual,Second Owner,22.24 kmpl,1568 CC,88.5 bhp,135Nm@ 1750rpm,5.0
Renault Duster,2014,68156,131750,Petrol,Individual,Manual,First Owner,21.88 kmpl,1136 CC,74.6 bhp,114Nm@ 1750rpm,4.0
Hyundai Verna,2020,226598,64595,Diesel,Individual,Manual,First Owner,21.28 kmpl,1361 CC,74.7 bhp,103Nm@ 1750rpm,5.0
Tata Altroz,2015,83977,106432,Petrol,Individual,Manual,First Owner,23.37 kmpl,1077 CC,57.5 bhp,89Nm@ 2500rpm,6.0
Toyota Etios,2011,83124,143951,Petrol,Dealer,Manual,Third Owner,18.62 kmpl,1634 CC,128.6 bhp,176Nm@ 1750rpm,5.0
Maruti Alto,2018,135287,69540,Petrol,Dealer,Manual,First Owner,19.48 kmpl,1505 CC,88.9 bhp,146Nm@ 1750rpm,7.0
Hyundai i10,2017,167361,56538,Diesel,Individual,Manual,First Owner,21.56 kmpl,1541 CC,84.9 bhp,133Nm@ 4000rpm,5.0
Honda Jazz,2016,150775,98659,Petrol,Individual,Manual,First Owner,19.63 kmpl,1289 CC,71.3 bhp,104Nm@ 2000rpm,5.0
Toyota Corolla,2012,113414,147125,Diesel,Trustmark Dealer,Automatic,First Owner,18.61 kmpl,1616 CC,100.2 bhp,,4.0
Honda Jazz,2012,104751,135628,Petrol,Dealer,Manual,First Owner,16.9 kmpl,1663 CC,96.3 bhp,134Nm@ 3000rpm,5.0
Renault Kwid,2015,121530,119190,Diesel,Dealer,Manual,First Owner,24.99 kmpl,1471 CC,87.2 bhp,141Nm@ 2000rpm,6.0
Ford Figo,2013,128740,136830,Diesel,Individual,Automatic,First Owner,20.26 kmpl,1676 CC,97.1 bhp,152Nm@ 2500rpm,7.0
Mercedes-Benz E-Class,2019,567083,74228,CNG,Dealer,Manual,First Owner,18.18 kmpl,2082 CC,112.5 bhp,167Nm@ 2000rpm,7.0
Audi A6,2014,388786,79924,Petrol,Individual,Automatic,First Owner,16.83 kmpl,1897 CC,133.8 bhp,210Nm@ 1750rpm,5.0
Tata Altroz,2012,70506,119831,Diesel,Individual,Manual,First Owner,20.97 kmpl,1821 CC,116.2 bhp,178Nm@ 1750rpm,5.0
Honda City,2011,74848,162726,Petrol,Dealer,Manual,First Owner,21.6 kmpl,1276 CC,82.9 bhp,90Nm@ 4000rpm,5.0
Maruti Vitara Brezza,2015,109630,72745,Diesel,Individual,Manual,Second Owner,21.18 kmpl,1298 CC,62.0 bhp,102Nm@ 2500rpm,7.0
Hyundai i10,2024,401060,46703,Petrol,Individual,Automatic,Second Owner,17.37 kmpl,1532 CC,106.1 bhp,,5.0
Hyundai Venue,2009,56404,198728,Diesel,Individual,Manual,Second Owner,20.5 kmpl,1762 CC,139.7 bhp,180Nm@ 2500rpm,7.0
Tata Tiago,2010,62723,182758,CNG,Individual,Manual,Second Owner,17.65 kmpl,1907 CC,94.2 bhp,155Nm@ 3000rpm,7.0
Audi A6,2016,422353,97722,Petrol,Individual,Manual,Second Owner,13.71 kmpl,2312 CC,139.9 bhp,244Nm@ 4000rpm,8.0
Toyota Innova,2013,122290,117607,Petrol,Individual,Manual,Second Owner,13.9 kmpl,2085 CC,112.6 bhp,168Nm@ 2500rpm,5.0
Mahindra XUV500,2011,92654,141342,Petrol,Individual,Manual,Test Drive Car,17.26 kmpl,2064 CC,111.3 bhp,173Nm@ 2200rpm,8.0
Mercedes-Benz GLA,2014,291414,107749,LPG,Individual,Manual,First Owner,16.13 kmpl,2106 CC,113.5 bhp,171Nm@ 2200rpm,5.0
Maruti Vitara Brezza,2014,71957,111015,Petrol,Individual,Automatic,Second Owner,18.45 kmpl,1602 CC,89.6 bhp,136Nm@ 1750rpm,5.0
Hyundai Creta,2005,41274,199025,CNG,Individual,Automatic,First Owner,18.87 kmpl,1674 CC,106.6 bhp,175Nm@ 1500rpm,5.0
Honda WR-V,2012,127152,134225,Diesel,Individual,Automatic,First Owner,20.79 kmpl,1550 CC,86.5 bhp,,7.0
Mercedes-Benz C-Class,2018,463693,69180,Petrol,Dealer,Manual,First Owner,15.65 kmpl,2287 CC,133.0 bhp,212Nm@ 2200rpm,5.0
Toyota Corolla,2015,156765,114703,Diesel,Individual,Manual,First Owner,,1383 CC,99.3 bhp,175Nm@ 1500rpm,8.0
Maruti Wagon R,2018,124623,95343,Diesel,Individual,Manual,Second Owner,26.21 kmpl,1078 CC,75.5 bhp,115Nm@ 2000rpm,6.0
Honda City,2010,66733,165876,Petrol,Individual,Manual,First Owner,20.09 kmpl,1355 CC,80.2 bhp,89Nm@ 3000rpm,5.0
Tata Tiago,2012,72297,158291,Diesel,Individual,Manual,Second Owner,21.22 kmpl,1331 CC,74.5 bhp,94Nm@ 3000rpm,7.0
Ford Figo,2015,134222,75415,Petrol,Individual,Manual,Second Owner,19.58 kmpl,1446 CC,87.8 bhp,129Nm@ 2000rpm,6.0
Honda City,2024,356431,100,Petrol,Individual,Manual,First Owner,20.07 kmpl,1025 CC,66.5 bhp,94Nm@ 1750rpm,4.0
Mahindra XUV300,2011,65145,152290,Diesel,Individual,Manual,Fourth & Above Owner,25.89 kmpl,1139 CC,86.0 bhp,146Nm@ 3000rpm,4.0
Ford EcoSport,2011,72149,154788,Petrol,Individual,Manual,Test Drive Car,16.09 kmpl,1996 CC,122.4 bhp,215Nm@ 3000rpm,8.0
Volkswagen Vento,2018,209079,88796,Diesel,Individual,Manual,First Owner,21.86 kmpl,1755 CC,114.2 bhp,180Nm@ 2200rpm,7.0
Honda Amaze,2017,157284,46153,Petrol,Individual,Manual,First Owner,18.42 kmpl,,79.7 bhp,125Nm@ 1500rpm,4.0
Hyundai i10,2021,299694,37291,Petrol,Individual,Manual,First Owner,16.35 kmpl,2112 CC,99.5 bhp,144Nm@ 1750rpm,5.0
Ford EcoSport,2011,59931,164914,Diesel,Individual,Manual,First Owner,25.13 kmpl,943 CC,53.8 bhp,80Nm@ 4000rpm,6.0
Tata Tiago,2020,181941,70630,Petrol,Individual,Automatic,Second Owner,17.55 kmpl,1579 CC,90.0 bhp,131Nm@ 3000rpm,7.0
BMW X1,2014,381117,117926,Diesel,Individual,Manual,First Owner,15.48 kmpl,2553 CC,176.9 bhp,298Nm@ 2000rpm,5.0
Honda Amaze,2016,130489,102903,Diesel,Individual,Manual,First Owner,24.93 kmpl,1339 CC,88.7 bhp,138Nm@ 2200rpm,4.0
Audi Q3,2016,420206,94883,Diesel,Individual,Manual,Third Owner,17.98 kmpl,1928 CC,132.8 bhp,208Nm@ 4000rpm,5.0
Renault Duster,2015,153604,97253,Diesel,Individual,Automatic,First Owner,19.56 kmpl,1658 CC,97.7 bhp,168Nm@ 1500rpm,5.0
Hyundai Grand i10,2017,121747,79204,Petrol,Trustmark Dealer,Manual,Third Owner,20.31 kmpl,1170 CC,80.4 bhp,118Nm@ 2500rpm,5.0
Audi A4,2015,366058,118642,Diesel,Dealer,Manual,First Owner,18.51 kmpl,1863 CC,119.9 bhp,208Nm@ 1500rpm,5.0
Mahindra Bolero,2016,135376,88065,Petrol,Dealer,Manual,First Owner,18.2 kmpl,1717 CC,94.0 bhp,152Nm@ 3000rpm,5.0
Mahindra XUV500,2022,337896,38531,Diesel,Individual,Automatic,First Owner,19.77 kmpl,1753 CC,,158Nm@ 2200rpm,5.0
Ford EcoSport,2019,255332,51836,Diesel,Individual,Manual,First Owner,21.39 kmpl,1842 CC,121.5 bhp,182Nm@ 1750rpm,5.0
Hyundai Venue,2010,78347,167184,Diesel,Individual,Manual,First Owner,18.15 kmpl,1875 CC,119.3 bhp,221Nm@ 3000rpm,8.0
Hyundai Grand i10,2008,68482,174245,Diesel,Dealer,Manual,First Owner,17.8 kmpl,1689 CC,113.2 bhp,162Nm@ 2000rpm,5.0
